ride_id,Name,Capacity,Avg_Day
1,Key West Ave & Siesta Key Way,15.0,0.14285714285714285
4,King Farm Blvd & Piccard Dr,15.0,0.5714285714285714
7,King Farm Blvd & Pleasant Dr,18.0,1.0
55,King Greenleaf Rec Center,19.0,7.857142857142857
31,King St & Patrick St,15.0,4.428571428571429
50,King St Metro North / Cameron St,15.0,7.142857142857143
28,King St Metro South,23.0,4.0
52,Kingman Island/The Fields at RFK,19.0,7.428571428571429
89,L'Enfant Plaza / 7th & C St SW,15.0,12.714285714285714
236,Lamont & Mt Pleasant NW,19.0,33.714285714285715
2,Largo Rd & Campus Way / Prince Georges's Comm Col,15.0,0.2857142857142857
5,Largo Town Center Metro,17.0,0.7142857142857143
7,Lee Center,15.0,1.0
8,Library St & Freedom Dr,19.0,1.1428571428571428
703,Lincoln Memorial,25.0,100.42857142857143
202,Lincoln Park / 13th & East Capitol St NE ,25.0,28.857142857142858
63,Lincoln Rd & Seaton Pl NE/Harry Thomas Rec Center,19.0,9.0
8,Livingston Rd & 3rd St SE,15.0,1.1428571428571428
13,Long Bridge Park / Long Bridge Dr & 6th St S,15.0,1.8571428571428572
114,Lynn St & 19th St North,27.0,16.285714285714285
2,Lyttonsville Rd & Lyttonsville Pl,15.0,0.2857142857142857
76,M St & New Jersey Ave SE,17.0,10.857142857142858
292,M St & Pennsylvania Ave NW,19.0,41.714285714285715
44,Madison St & Fairfax St,15.0,6.285714285714286
17,Madison St & N Henry St,15.0,2.4285714285714284
273,Maine Ave & 7th St SW,19.0,39.0
314,Maine Ave & 9th St SW,15.0,44.857142857142854
7,Maple & Ritchie Ave,19.0,1.0
64,Market Square / King St & Royal St,15.0,9.142857142857142
58,Maryland Ave & 17th St NE,19.0,8.285714285714286
122,Maryland Ave & E St NE,19.0,17.428571428571427
117,Massachusetts Ave & 6th St NE,19.0,16.714285714285715
349,Massachusetts Ave & Dupont Circle NW,45.0,49.857142857142854
1,McLean Metro,19.0,0.14285714285714285
7,Medical Center Metro ,19.0,1.0
5,Merrifield Cinema & Merrifield Town Center,11.0,0.7142857142857143
2,Merrilee Dr & Lauren Elizabeth Lane,11.0,0.2857142857142857
184,Metro Center / 12th & G St NW,39.0,26.285714285714285
9,Minnesota Ave & R St SE,19.0,1.2857142857142858
6,Minnesota Ave Metro/DOES,15.0,0.8571428571428571
7,Mississippi Ave & 19th St SE / THEARC,19.0,1.0
20,Monroe Ave & Leslie Ave,15.0,2.857142857142857
1,Monroe St & Monroe Pl,15.0,0.14285714285714285
69,Montello Ave & Holbrook Terr NE,19.0,9.857142857142858
17,Montgomery & East Ln,11.0,2.4285714285714284
12,Montgomery Ave & Waverly St ,11.0,1.7142857142857142
4,Montgomery College / W Campus Dr & Mannakee St,21.0,0.5714285714285714
13,Mount Vernon Ave & Bruce St,15.0,1.8571428571428572
16,Mount Vernon Ave & E Del Ray Ave,15.0,2.2857142857142856
